ID,Year_Birth,Education,Marital_Status,Income,Kidhome,Teenhome,Dt_Customer,Recency,MntWines,MntFruits,MntMeatProducts,MntFishProducts,MntSweetProducts,MntGoldProds,NumDealsPurchases,NumWebPurchases,NumCatalogPurchases,NumStorePurchases,NumWebVisitsMonth,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,AcceptedCmp1,AcceptedCmp2,Complain,Z_CostContact,Z_Revenue,Response
9369,1979,2n Cycle,Single,88194,0,1,19/03/2014,19,688,14,309,201,24,38,1,11,10,10,5,1,0,0,1,0,0,3,11,1
4477,1958,Graduation,Together,69096,0,1,27/09/2013,4,247,49,159,7,82,109,1,5,2,10,4,0,0,0,0,0,0,3,11,0
1357,1970,Graduation,Together,74854,1,2,08/04/2013,90,856,59,487,58,29,73,7,2,5,5,5,0,0,0,0,0,0,3,11,0
1402,1954,Master,Married,66991,0,0,11/09/2012,1,496,36,460,189,60,12,3,4,8,6,3,0,0,0,0,0,0,3,11,0
10629,1973,2n Cycle,Married,,1,0,14/09/2012,25,25,3,43,17,4,17,3,3,0,3,8,0,0,0,0,0,0,3,11,0
6312,1959,Graduation,Married,65031,0,1,17/03/2013,29,258,107,291,84,37,86,4,10,3,13,7,0,0,0,0,0,0,3,11,0
8132,1975,PhD,Married,60631,1,1,05/04/2013,88,565,6,65,0,6,19,5,9,2,8,7,0,1,0,0,0,0,3,11,0
1050,1952,Graduation,Married,28332,0,0,30/04/2014,58,14,10,13,4,15,9,1,2,1,4,2,0,0,0,0,0,0,3,11,0
5846,1977,Graduation,Divorced,40246,1,0,19/12/2012,68,2,1,6,2,1,1,1,1,0,2,6,0,0,0,0,0,0,3,11,0
1859,1972,Master,Married,75251,0,0,27/08/2012,34,721,111,925,97,18,18,1,7,6,5,5,0,0,0,0,0,0,3,11,1
7503,1976,Graduation,Single,75825,0,0,12/10/2012,40,1032,105,779,137,105,51,0,5,8,9,4,1,0,0,0,0,0,3,11,1
10401,1976,2n Cycle,Together,26326,0,0,04/09/2013,12,1,0,5,0,3,9,1,0,0,3,3,0,0,0,0,0,1,3,11,0
1618,1965,Graduation,Together,56046,0,0,02/01/2013,9,577,0,64,0,0,51,2,10,1,8,8,1,0,0,0,0,0,3,11,1
3332,1985,Graduation,Single,29760,1,0,29/08/2012,87,64,4,68,7,5,17,4,3,1,4,8,0,0,0,0,0,0,3,11,0
2261,1969,Graduation,Married,26304,1,0,23/06/2013,5,4,1,5,2,0,4,1,1,0,2,7,0,0,0,0,0,0,3,11,0
5346,1973,2n Cycle,Married,23559,1,0,03/07/2013,87,25,5,19,7,0,23,3,3,0,3,7,0,0,0,0,0,0,3,11,0
4119,1963,Master,Together,38620,0,0,11/05/2013,56,112,17,44,34,22,89,1,2,5,3,3,0,0,0,0,0,0,3,11,0
535,1987,Graduation,Divorced,81361,0,0,25/02/2014,18,163,23,424,27,65,76,1,3,10,13,1,0,0,0,0,0,0,3,11,0
5268,1960,Graduation,Married,29440,1,1,11/08/2013,95,17,8,14,10,4,3,2,1,0,4,7,0,0,0,0,0,0,3,11,0
273,1970,Master,Married,36138,1,1,16/07/2013,48,130,0,16,0,0,5,5,3,1,4,7,0,1,0,0,0,0,3,11,0
4452,1957,Graduation,Single,50388,0,1,28/05/2014,3,292,6,37,0,3,34,4,6,1,6,7,0,1,0,1,0,0,3,11,1
8504,1973,Graduation,Married,79593,0,0,12/05/2014,70,350,60,568,110,133,145,1,5,6,7,2,0,0,1,0,0,0,3,11,0
771,1967,Graduation,Together,54178,0,1,21/01/2014,79,135,9,39,4,0,7,1,2,2,5,2,0,0,0,0,0,0,3,11,0
8996,1957,PhD,Married,,2,1,19/11/2012,4,230,42,192,49,37,53,12,7,2,8,9,0,0,0,0,0,0,3,11,0
9235,1957,Graduation,Single,,1,1,27/05/2014,45,7,0,8,2,0,1,1,1,0,2,7,0,0,0,0,0,0,3,11,0
5798,1973,Master,Together,,0,0,23/11/2013,87,445,37,359,98,28,18,1,2,4,8,1,0,0,0,0,0,0,3,11,0
11178,1972,Master,Single,42394,1,0,23/03/2014,69,15,2,10,0,1,4,1,1,0,3,7,0,0,0,0,0,0,3,11,0
2230,1970,PhD,Married,23626,1,0,24/05/2014,84,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,0,0,3,11,0
7516,1983,Graduation,Married,30096,1,0,22/05/2014,30,5,3,11,12,5,9,1,2,0,3,6,0,0,0,0,0,0,3,11,0
7247,1960,Graduation,Widow,47916,0,1,22/11/2012,72,505,0,26,0,0,75,5,7,4,6,6,0,1,0,0,0,0,3,11,0
11100,1972,Graduation,Divorced,51813,1,1,11/04/2013,37,51,2,7,0,1,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0
4646,1951,2n Cycle,Married,78497,0,0,01/12/2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0
3037,1983,PhD,Married,50150,0,0,20/06/2013,32,135,46,92,65,61,11,2,5,2,7,5,0,0,0,0,0,0,3,11,0
1473,1960,2n Cycle,Single,47823,0,1,23/07/2013,0,53,1,5,2,1,10,2,2,0,3,8,0,0,0,0,0,0,3,11,0
1016,1959,PhD,Single,34554,0,1,30/03/2014,43,41,1,6,2,0,5,2,2,0,3,6,0,0,0,0,0,0,3,11,0
4518,1979,Graduation,Together,85693,0,1,20/04/2013,59,386,172,183,185,132,111,2,9,5,11,5,0,0,0,0,0,0,3,11,0
9370,1945,PhD,Married,65846,0,0,17/05/2013,68,562,81,276,80,40,81,1,6,3,6,4,0,0,0,0,0,0,3,11,0
8908,1959,Graduation,Married,87195,0,0,08/05/2014,35,217,76,690,50,26,38,1,3,11,5,1,0,0,0,0,0,0,3,11,1
8373,1979,Basic,Together,24594,1,0,10/12/2013,94,1,3,6,10,0,9,1,1,0,3,5,0,0,0,0,0,0,3,11,0
7533,1964,Graduation,Married,49096,1,1,24/09/2013,15,144,1,32,2,1,7,4,4,1,4,7,0,0,0,0,0,0,3,11,0
2683,1969,Graduation,Married,52413,0,2,02/02/2013,56,295,106,271,75,98,65,4,6,4,12,6,0,0,0,0,0,0,3,11,0
3629,1978,Graduation,Single,38557,1,0,19/12/2012,17,76,3,31,4,4,27,2,3,1,3,7,0,0,0,0,0,0,3,11,0
10991,1960,Master,Married,89058,0,0,07/12/2012,18,454,194,106,31,22,43,1,5,4,4,2,0,0,0,0,0,0,3,11,0
5077,1979,Graduation,Together,77298,0,1,02/11/2013,46,425,115,292,23,35,79,1,6,6,11,3,0,0,0,0,0,0,3,11,0
7431,1991,PhD,Single,68126,0,0,10/11/2012,40,1332,17,311,23,51,86,1,7,4,5,9,0,1,0,0,0,0,3,11,1
3267,1963,Master,Together,57288,0,1,25/06/2014,27,527,0,21,0,0,60,3,8,1,8,6,0,1,0,0,0,0,3,11,0
999,1991,Graduation,Single,86037,0,0,02/01/2013,95,490,44,125,29,20,22,1,6,7,11,3,0,1,1,0,0,0,3,11,1
9215,1980,PhD,Married,43974,1,0,12/12/2012,19,378,0,101,0,0,72,5,6,4,6,7,0,0,0,0,0,0,3,11,0
2286,1962,Graduation,Single,50785,1,1,10/09/2013,27,64,1,21,0,1,27,2,2,1,3,6,0,0,0,0,0,0,3,11,0
1592,1970,Graduation,Married,90765,0,0,24/01/2014,25,547,99,812,151,82,33,0,4,6,5,1,0,0,1,1,0,0,3,11,0
367,1978,2n Cycle,Married,36550,1,0,19/02/2013,74,47,90,94,123,103,120,5,9,1,5,9,0,0,0,0,0,0,3,11,0
5234,1967,2n Cycle,Together,30753,1,1,11/07/2013,85,12,5,25,0,9,30,2,1,1,3,5,0,0,0,0,0,0,3,11,0
9862,1969,Graduation,Together,21918,1,0,14/11/2013,37,1,6,7,11,5,3,2,2,0,3,6,0,0,0,0,0,0,3,11,0
9805,1953,Master,Together,56129,0,1,20/06/2013,65,320,48,133,39,72,48,4,6,2,10,4,0,0,0,0,0,0,3,11,0
6205,1967,Master,Single,32557,1,0,24/02/2014,13,34,3,29,0,4,10,3,2,1,3,5,0,0,0,0,0,0,3,11,1
8442,1985,Master,Married,19510,2,0,04/09/2013,63,9,0,7,3,4,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0
7386,1976,Graduation,Divorced,30992,1,0,22/04/2013,83,17,0,14,7,3,2,1,1,0,3,7,0,0,0,0,0,0,3,11,0
7215,1983,Graduation,Single,101970,0,0,12/03/2013,69,722,27,102,44,72,168,0,6,8,13,2,0,1,1,1,0,0,3,11,1
1491,1965,2n Cycle,Together,71488,0,0,18/02/2013,87,162,33,124,40,28,172,2,3,4,7,1,0,0,0,0,0,0,3,11,0
11071,1984,Graduation,Single,79607,0,0,21/04/2013,37,450,133,951,173,0,216,1,3,6,6,1,0,0,0,0,0,0,3,11,1
3381,1953,Master,Married,54348,1,1,08/06/2014,51,70,0,16,0,0,4,2,2,0,4,6,0,0,0,0,0,0,3,11,0
8268,1961,PhD,Married,,0,1,11/07/2013,23,352,0,27,10,0,15,3,6,1,7,6,0,0,0,0,0,0,3,11,0
11051,1956,PhD,Together,77376,1,1,10/05/2014,72,492,19,110,16,12,12,4,6,3,10,4,0,0,0,0,0,0,3,11,0
8026,1952,Graduation,Married,62998,0,1,30/09/2013,10,120,58,73,65,89,58,5,5,4,5,5,0,0,0,0,0,0,3,11,0
433,1958,Master,Alone,61331,1,1,10/03/2013,42,534,5,47,0,5,41,5,11,1,6,8,0,0,0,0,0,0,3,11,0
9597,1969,Graduation,Married,73448,0,0,10/02/2014,10,236,106,189,23,41,130,1,7,2,9,4,0,0,0,0,0,0,3,11,0
1295,1963,Graduation,Married,,0,1,11/08/2013,96,231,65,196,38,71,124,1,6,5,7,4,0,0,0,0,0,0,3,11,0
5290,1964,PhD,Married,41551,1,1,14/08/2013,51,220,0,33,3,0,23,5,5,1,5,8,0,0,0,0,0,0,3,11,0
1685,1967,PhD,Together,62981,0,0,17/03/2013,21,796,14,590,38,44,0,1,4,5,13,3,0,1,0,0,0,0,3,11,0
5342,1976,Basic,Divorced,9548,1,0,08/08/2012,31,0,1,3,10,6,9,2,1,0,3,8,0,0,0,0,0,0,3,11,0
9579,1959,PhD,Married,33762,2,1,07/07/2013,61,53,1,34,2,0,16,3,2,2,2,8,0,0,0,0,0,0,3,11,0
7660,1973,PhD,Alone,35860,1,1,19/05/2014,37,15,0,8,4,2,20,2,1,1,2,5,1,0,0,0,0,0,3,11,1
1461,1965,PhD,Divorced,36921,1,1,28/07/2013,74,17,1,12,3,1,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0
821,1992,Master,Single,92859,0,0,19/10/2012,46,962,61,921,52,61,20,1,5,4,12,2,0,0,0,0,0,0,3,11,0
11084,1976,Master,Together,65104,0,1,14/11/2013,4,738,0,232,13,20,50,2,3,5,7,7,0,0,0,0,0,0,3,11,1
8690,1962,Graduation,Married,86111,0,0,19/04/2013,73,399,28,756,36,40,126,1,5,7,10,2,0,0,0,0,0,0,3,11,0
2937,1974,PhD,Single,68352,0,1,28/08/2013,47,614,16,132,43,33,33,3,8,5,9,6,0,0,0,0,0,0,3,11,0
9701,1988,Graduation,Together,41883,1,0,19/03/2013,13,32,34,41,73,16,116,3,4,2,3,7,0,0,0,0,0,0,3,11,0
9949,1976,Graduation,Married,59809,0,2,18/10/2012,36,598,16,141,32,41,49,3,3,3,6,8,0,0,0,0,0,0,3,11,0
10837,1975,Graduation,Married,23957,1,0,28/10/2012,47,2,1,18,20,11,16,1,2,0,3,6,0,0,0,0,0,0,3,11,1
3120,1981,Graduation,Together,38547,1,0,28/08/2013,49,6,1,10,0,1,4,1,1,0,2,8,0,0,0,0,0,1,3,11,0
5885,1973,2n Cycle,Married,35688,2,1,22/08/2012,94,73,3,90,12,1,32,7,4,1,4,8,0,0,0,0,0,0,3,11,0
4050,1966,Master,Married,49605,0,0,21/06/2014,65,42,16,29,12,20,8,1,2,1,4,3,0,0,0,0,0,0,3,11,0
3830,1953,Master,Married,59354,0,2,24/04/2014,59,295,21,78,39,13,13,1,4,4,7,3,0,0,0,0,0,0,3,11,0
7987,1969,Graduation,Married,65747,0,1,07/03/2014,96,346,17,48,23,13,13,4,8,1,6,6,0,1,0,0,0,0,3,11,0
7798,1972,2n Cycle,Together,46344,0,1,14/12/2012,28,233,20,57,8,20,91,4,7,1,5,7,0,0,0,0,0,0,3,11,0
92,1988,Graduation,Alone,34176,1,0,12/05/2014,12,5,7,24,19,14,20,4,3,0,4,6,0,0,0,0,0,0,3,11,0
7055,1952,PhD,Together,61010,0,1,09/10/2012,57,888,0,57,0,0,76,2,8,5,11,5,0,0,0,0,0,0,3,11,0
10240,1949,Graduation,Together,69372,0,0,19/02/2013,10,997,26,269,34,13,42,1,10,4,6,4,0,1,1,0,0,0,3,11,1
3025,1958,Graduation,Single,49967,0,1,08/07/2013,4,212,6,69,4,12,3,3,6,1,5,7,0,0,0,0,0,0,3,11,0
9283,1978,Graduation,Single,60199,1,2,12/09/2013,49,8,1,7,2,0,0,1,0,0,3,4,0,0,0,0,0,0,3,11,0
9970,1977,Graduation,Together,55375,0,1,17/10/2013,3,42,11,57,10,28,14,1,1,1,6,2,0,0,0,0,0,0,3,11,0
2730,1955,Graduation,Single,80317,0,0,20/08/2013,64,536,11,387,149,91,57,1,3,4,10,1,0,0,0,0,0,0,3,11,0
2795,1958,Master,Single,30523,2,1,01/07/2013,0,5,0,3,0,0,5,1,1,0,2,7,0,0,0,0,0,0,3,11,0
9260,1945,PhD,Married,70356,0,0,05/11/2012,20,1349,16,249,43,16,33,2,10,6,9,6,0,0,0,0,0,0,3,11,0
8182,1984,Graduation,Married,23228,1,0,05/01/2014,91,53,3,49,7,4,5,4,3,0,4,8,0,0,0,0,0,0,3,11,0
10095,1975,PhD,Divorced,74165,0,0,01/05/2013,9,1001,12,240,16,12,12,1,5,4,10,2,0,0,0,0,0,0,3,11,0
8475,1973,PhD,Married,157243,0,1,01/03/2014,98,20,2,1582,1,2,1,15,0,22,0,0,0,0,0,0,0,0,3,11,0
4370,1966,Graduation,Together,43482,2,1,13/11/2013,83,18,1,32,6,3,28,3,2,0,4,6,0,0,0,0,0,0,3,11,0
10573,1953,Graduation,Divorced,62551,0,0,18/11/2013,27,125,16,98,134,21,27,1,6,7,4,3,1,0,0,0,0,0,3,11,0
3712,1959,Graduation,Divorced,52332,0,0,28/08/2013,63,212,5,33,7,0,2,1,3,2,6,4,0,1,0,0,0,0,3,11,0
6637,1988,Graduation,Single,66951,0,0,02/11/2013,46,277,162,305,173,76,124,1,3,4,7,1,0,0,0,0,0,0,3,11,0
3152,1957,Graduation,Together,26091,1,1,25/02/2014,84,15,10,19,8,17,20,3,2,1,3,5,0,0,0,0,0,0,3,11,0
5610,1965,Graduation,Together,33456,1,1,21/04/2014,58,7,3,10,8,1,7,2,1,0,3,7,0,0,0,0,0,0,3,11,0
6460,1982,Graduation,Married,28718,1,0,13/07/2013,78,12,4,6,11,8,16,2,2,0,3,8,0,0,0,0,0,0,3,11,0
1349,1970,Graduation,Married,50447,2,0,21/04/2014,4,85,7,24,2,3,27,1,3,1,3,6,0,0,0,0,0,0,3,11,0
1880,1959,PhD,Together,53537,1,1,30/01/2014,17,81,0,6,0,0,6,2,2,1,3,5,0,0,0,0,0,0,3,11,0
641,1967,Graduation,Single,52074,0,1,04/04/2014,77,59,0,12,0,0,48,1,2,2,2,4,1,0,0,0,0,0,3,11,0
8717,1975,PhD,Married,80427,0,1,12/09/2012,56,1149,71,449,69,71,26,1,11,8,8,5,0,0,0,0,0,0,3,11,0
10314,1948,PhD,Married,83837,0,0,16/12/2012,79,847,66,119,86,89,111,1,9,10,5,4,0,1,0,1,0,0,3,11,1
10854,1970,PhD,Married,38853,1,1,23/05/2014,90,29,0,14,0,0,2,2,2,0,3,7,0,0,0,0,0,0,3,11,0
10492,1959,Graduation,Together,38285,2,1,24/06/2014,96,2,0,5,2,0,1,1,0,0,3,2,0,0,0,0,0,0,3,11,0
6935,1951,2n Cycle,Married,78497,0,0,01/12/2013,44,207,26,447,75,0,223,1,5,7,12,2,0,0,0,1,0,0,3,11,0
7698,1976,PhD,Married,51650,0,1,11/05/2014,81,152,3,22,2,5,7,1,4,1,4,5,0,0,0,0,0,0,3,11,0
3559,1988,2n Cycle,Married,16248,1,0,10/05/2014,77,12,11,10,3,12,9,3,2,1,3,6,0,0,0,0,0,0,3,11,0
10562,1946,Master,Married,66835,0,0,28/09/2013,21,620,26,195,34,17,141,1,6,4,13,2,0,0,0,0,0,0,3,11,0
10796,1984,Master,Married,30477,1,0,22/01/2014,16,47,1,6,0,0,12,1,1,1,3,6,0,0,0,0,0,0,3,11,0
2563,1961,Basic,Married,28249,0,0,15/06/2014,80,1,9,7,2,14,10,1,2,0,3,6,0,0,0,0,0,0,3,11,0
3518,1983,Graduation,Married,25271,1,0,05/12/2012,45,10,1,18,10,4,7,1,1,1,2,9,0,0,0,0,0,0,3,11,0
5823,1970,PhD,Single,32303,0,1,08/03/2014,63,35,0,2,0,0,2,2,1,0,4,5,0,0,0,0,0,0,3,11,0
3934,1966,Graduation,Married,61286,0,1,02/08/2013,34,356,0,107,19,9,117,2,7,1,8,5,0,0,0,0,0,0,3,11,0
6982,1976,Graduation,Married,74068,0,0,19/03/2013,14,783,30,537,140,76,15,1,4,10,9,2,0,0,0,0,0,0,3,11,0
6431,1964,PhD,Married,45759,1,1,23/02/2013,13,42,1,18,3,0,4,2,2,0,3,7,0,0,0,0,0,0,3,11,0
9733,1978,Basic,Together,24882,1,0,09/09/2012,52,1,4,10,29,0,36,1,1,1,2,6,1,0,0,0,0,0,3,11,0
5602,1989,PhD,Together,66973,0,0,17/05/2013,98,466,22,432,147,113,102,1,8,7,12,3,0,0,0,0,0,0,3,11,0
7829,1900,2n Cycle,Divorced,36640,1,0,26/09/2013,99,15,6,8,7,4,25,1,2,1,2,5,0,0,0,0,0,1,3,11,0
1324,1988,Graduation,Married,38872,1,0,30/05/2013,93,23,3,21,3,19,22,2,3,0,3,8,0,0,0,0,0,0,3,11,0
